id_cliente,nome,cpf,data_nascimento,renda_mensal,regiao,data_carga
27,Dr. Murilo Freitas,32670415890,1971-07-19,4462.49,SUDESTE,2025-03-28 18:36:55
28,Luara Ribeiro,46231590860,2005-08-04,6922.51,NORDESTE,2025-03-28 18:36:55
29,Zoe Montenegro,47258390197,1947-06-30,11786.31,SUL,2025-03-28 18:36:55
30,Ryan Monteiro,64520378117,1994-12-20,19422.11,NORDESTE,2025-03-28 18:36:55
31,Joaquim Pires,38091725450,1974-04-13,9545.33,NORDESTE,2025-03-28 18:36:55
32,Dra. Cecília Pereira,42630157970,1952-04-06,18001.72,SUDESTE,2025-03-28 18:36:55
33,Julia Da Cunha,2371586986,2001-07-02,1859.32,SUL,2025-03-28 18:36:55
34,José Farias,31982405732,1962-07-02,8384.87,NORDESTE,2025-03-28 18:36:55
35,Dr. Otto Porto,59637208186,1949-08-07,11254.15,NORDESTE,2025-03-28 18:36:55
36,Srta. Pietra Jesus,58763204126,1994-04-22,19339.85,SUDESTE,2025-03-28 18:36:55
37,Clarice Vieira,71932546855,1972-01-08,11311.23,NORTE,2025-03-28 18:36:55
38,Nicole Das Neves,12498630589,1948-09-26,6629.2,SUL,2025-03-28 18:36:55
39,Dr. Rael Vasconcelos,6532941824,1992-10-25,2416.46,NORTE,2025-03-28 18:36:55
40,Pietro Cassiano,90135786401,1985-04-17,15672.65,SUDESTE,2025-03-28 18:36:55
41,Kamilly Cavalcante,50367149206,1989-01-21,6576.28,CENTRO-OESTE,2025-03-28 18:36:55
42,Olívia Freitas,31975026470,1990-08-29,4778.01,CENTRO-OESTE,2025-03-28 18:36:55
43,Elisa Melo,65748390175,2002-08-25,16013.34,CENTRO-OESTE,2025-03-28 18:36:55
44,Eduardo Vargas,51640398260,1951-03-23,2406.85,NORDESTE,2025-03-28 18:36:55
45,Dr. João Pedro Cirino,25403917888,1952-02-13,3201.51,NORTE,2025-03-28 18:36:55
46,Isabela Cunha,32045816915,1948-04-03,12842.66,NORDESTE,2025-03-28 18:36:55
47,Zoe Castro,82930671521,1952-07-26,2812.79,SUL,2025-03-28 18:36:55
48,Sarah Fogaça,28015769302,1986-06-13,14862.52,CENTRO-OESTE,2025-03-28 18:36:55
49,Letícia Cirino,65140289342,1968-10-19,11663.63,CENTRO-OESTE,2025-03-28 18:36:55
50,Valentina Viana,48530796292,1996-09-28,3272.29,CENTRO-OESTE,2025-03-28 18:36:55
51,Sara Castro,83745962010,1969-03-06,15454.92,NORDESTE,2025-03-28 18:36:55
52,Srta. Gabrielly Santos,81964537010,2003-10-16,5483.71,CENTRO-OESTE,2025-03-28 18:36:55
53,Sra. Ana Luiza Fogaça,56340728910,1970-12-09,10931.92,NORDESTE,2025-03-28 18:36:55
54,Maria Fernanda Rios,98613704557,2005-01-02,1482.96,SUL,2025-03-28 18:36:55
55,Leonardo Azevedo,38015246989,1996-10-13,4832.66,NORTE,2025-03-28 18:36:55
56,Valentim Da Costa,91630547280,1944-11-03,6972.76,SUDESTE,2025-03-28 18:36:55
57,Sra. Jade Machado,18746932003,1951-10-12,18243.76,SUL,2025-03-28 18:36:55
58,Guilherme Novais,79056143280,1952-12-22,11256.98,SUL,2025-03-28 18:36:55
59,Anthony Oliveira,16259037406,1990-07-19,5347.17,CENTRO-OESTE,2025-03-28 18:36:55
60,Camila Pacheco,78056421920,1945-02-05,14200.91,SUDESTE,2025-03-28 18:36:55
61,Bento Sampaio,9428356700,1974-07-09,18664.26,SUL,2025-03-28 18:36:55
62,Sofia Fernandes,89367052456,2002-12-13,6617.04,SUL,2025-03-28 18:36:55
63,Maria Alice Sá,56940732829,1972-09-25,17557.75,SUDESTE,2025-03-28 18:36:55
64,Lavínia Cavalcante,37214608987,1972-12-09,5150.37,SUDESTE,2025-03-28 18:36:55
65,Ana Laura Silveira,19276580476,1973-12-17,17958.62,CENTRO-OESTE,2025-03-28 18:36:55
66,Lucas Dias,69132784031,2006-06-14,7162.56,SUDESTE,2025-03-28 18:36:55
67,Samuel Ferreira,51680249398,1949-07-16,7769.66,NORTE,2025-03-28 18:36:55
68,Maria Helena Pires,57324901832,1987-07-30,6170.51,CENTRO-OESTE,2025-03-28 18:36:55
69,Maysa Farias,48971520388,2001-10-08,9115.05,SUDESTE,2025-03-28 18:36:55
70,Diego Brito,69571843075,1953-12-18,7698.81,CENTRO-OESTE,2025-03-28 18:36:55
71,Thiago Araújo,53416298098,2005-05-20,1132.09,CENTRO-OESTE,2025-03-28 18:36:55
72,Eduardo Cavalcante,18630275995,1944-09-20,8930.81,SUL,2025-03-28 18:36:55
73,Valentina Araújo,80976541300,2005-04-05,14156.28,NORDESTE,2025-03-28 18:36:55
74,Ana Sophia Carvalho,72850164976,1972-09-25,7414.69,CENTRO-OESTE,2025-03-28 18:36:55
75,Luan Pinto,36408927122,2002-12-14,7140.86,NORTE,2025-03-28 18:36:55
76,Ana Lívia Da Cruz,87305691259,1983-11-26,8672.89,NORTE,2025-03-28 18:36:55
77,Matheus Da Cunha,79162438069,1966-05-31,5824.39,SUDESTE,2025-03-28 18:36:55
78,Luana Dias,96103874203,2006-12-04,5783.86,NORDESTE,2025-03-28 18:36:55
79,Oliver Gomes,71236594061,2003-01-30,14533.14,SUL,2025-03-28 18:36:55
80,Agatha Pimenta,6935247152,1985-11-05,6411.97,NORTE,2025-03-28 18:36:55
81,Cecilia Da Mata,74398526137,1969-01-01,6068.84,NORDESTE,2025-03-28 18:36:55
82,Samuel Cavalcanti,12504698305,1966-02-26,10550.9,SUL,2025-03-28 18:36:55
83,Kamilly Fonseca,90142758388,1999-12-22,7556.35,NORTE,2025-03-28 18:36:55
84,Sophia Dias,47120358626,1984-01-10,5551.68,NORDESTE,2025-03-28 18:36:55
85,Letícia Barbosa,21589470397,2007-01-29,11087.76,NORDESTE,2025-03-28 18:36:55
86,João Miguel Aparecida,27639084547,1996-10-11,19727.36,SUDESTE,2025-03-28 18:36:55
87,Sr. Lucca Azevedo,34578092674,1946-11-13,2536.21,CENTRO-OESTE,2025-03-28 18:36:55
88,Sara Almeida,18726394537,1967-12-26,5601.04,SUL,2025-03-28 18:36:55
89,Srta. Amanda Silva,18934260769,2006-08-01,13013.81,CENTRO-OESTE,2025-03-28 18:36:55
90,Erick Nogueira,96705342161,1959-08-27,16512.21,NORTE,2025-03-28 18:36:55
91,Brayan Cavalcante,79538201450,2002-04-11,3863.63,CENTRO-OESTE,2025-03-28 18:36:55
92,Renan Ferreira,92718436069,1990-09-14,4543.85,SUL,2025-03-28 18:36:55
93,Srta. Ana Sophia Campos,41295076306,1996-05-28,17308.82,SUDESTE,2025-03-28 18:36:55
94,João Felipe Costa,5786143244,2001-07-15,13873.72,CENTRO-OESTE,2025-03-28 18:36:55
95,Thiago Montenegro,53246178062,1950-08-07,14511.84,CENTRO-OESTE,2025-03-28 18:36:55
96,Maria Laura Da Costa,39085172659,1973-03-01,7624.65,SUDESTE,2025-03-28 18:36:55
97,Isaque Câmara,76015248335,1975-03-10,18869.94,NORDESTE,2025-03-28 18:36:55
98,Dr. Noah Andrade,24908675392,1995-01-22,16916.49,CENTRO-OESTE,2025-03-28 18:36:55
99,Josué Mendonça,67481530939,1951-11-02,7480.26,NORTE,2025-03-28 18:36:55
100,Olívia Cavalcanti,3986142703,1960-01-20,4972.36,NORDESTE,2025-03-28 18:36:55
101,Théo Moreira,93172605434,1984-08-13,5900.89,SUDESTE,2025-03-28 18:36:55
102,Maria Júlia Da Mata,40315862726,2004-07-22,4324.14,NORTE,2025-03-28 18:36:55
103,Lucas Farias,89340762592,1994-06-07,10816.08,NORTE,2025-03-28 18:36:55
104,Olívia Câmara,38297514609,1951-06-29,5595.19,SUDESTE,2025-03-28 18:36:55
105,Liam Cunha,87691352077,2005-09-02,11607.58,CENTRO-OESTE,2025-03-28 18:36:55
106,Srta. Beatriz Cassiano,32894761031,1993-03-28,4585.44,NORTE,2025-03-28 18:36:55
107,João Gabriel Machado,69517380259,1944-05-09,7634.98,CENTRO-OESTE,2025-03-28 18:36:55
108,Liz Martins,93204617831,1957-11-23,17270.16,NORTE,2025-03-28 18:36:55
109,Carlos Eduardo Nogueira,36541279837,1960-07-14,13198.6,CENTRO-OESTE,2025-03-28 18:36:55
110,Yan Mendes,79104258649,1980-02-04,18777.06,SUDESTE,2025-03-28 18:36:55
111,Lívia Pires,67193254006,1983-05-15,18072.53,SUDESTE,2025-03-28 18:36:55
112,Sophie Vasconcelos,50289317630,1964-12-31,12033.05,NORTE,2025-03-28 18:36:55
113,Ian Dias,40215867920,1954-10-18,13606.53,SUL,2025-03-28 18:36:55
114,Alana Cavalcante,57482139664,1980-01-27,6394.5,NORDESTE,2025-03-28 18:36:55
115,Asafe Montenegro,73501264844,1966-03-24,10226.66,CENTRO-OESTE,2025-03-28 18:36:55
116,Paulo Rocha,28617940387,1975-07-28,13387.26,NORTE,2025-03-28 18:36:55
117,Benicio Nunes,97408123687,1946-01-29,4342.58,SUDESTE,2025-03-28 18:36:55
118,Melina Correia,31472598032,1982-07-18,5507.73,SUL,2025-03-28 18:36:55
119,Luiz Fernando Monteiro,28637951473,1980-01-04,4397.63,CENTRO-OESTE,2025-03-28 18:36:55
120,Sr. Joaquim Viana,53790148288,1946-07-13,13494.64,NORTE,2025-03-28 18:36:55
121,Heloisa Gomes,68490273529,1985-07-17,11308.26,CENTRO-OESTE,2025-03-28 18:36:55
122,Isis Rios,70418395675,1960-01-31,7986.6,SUL,2025-03-28 18:36:55
123,Sara Da Rocha,75863092483,1992-06-19,10248.1,CENTRO-OESTE,2025-03-28 18:36:55
124,Gabriel Garcia,8915476301,1993-07-13,9253.49,SUL,2025-03-28 18:36:55
125,Sr. Lucca Monteiro,15702943643,1989-09-21,10550.1,SUDESTE,2025-03-28 18:36:55
126,Marcela Pinto,83540279105,1948-11-20,13709.56,NORTE,2025-03-28 18:36:55
127,Marcos Vinicius Barros,52346098124,1951-01-28,4709.62,SUL,2025-03-28 18:36:55
128,Vitor Vargas,20376954892,1962-10-19,10484.67,SUDESTE,2025-03-28 18:36:55
129,Lavínia Pereira,81950347648,1985-11-10,1462.0,NORTE,2025-03-28 18:36:55
130,Ana Beatriz Ribeiro,71349085693,1958-07-26,1828.47,SUDESTE,2025-03-28 18:36:55
131,Manuella Da Costa,94568712076,1956-05-11,18868.71,SUL,2025-03-28 18:36:55
132,Dr. Vitor Gabriel Ramos,7256134835,1957-06-02,6311.65,CENTRO-OESTE,2025-03-28 18:36:55
133,Marcos Vinicius Pinto,85492076329,2001-11-29,15206.66,SUL,2025-03-28 18:36:55
134,Alícia Almeida,68051942701,1965-12-14,18638.05,NORTE,2025-03-28 18:36:55
135,Danilo Lopes,32467098583,1950-06-30,11502.53,CENTRO-OESTE,2025-03-28 18:36:55
136,Erick Rezende,5183967466,1988-05-29,19626.3,SUDESTE,2025-03-28 18:36:55
137,Vitor Gabriel Alves,60273419552,1980-04-21,6594.53,SUL,2025-03-28 18:36:55
138,Evelyn Macedo,47215830950,1960-10-27,4627.31,NORTE,2025-03-28 18:36:55
139,Diogo Duarte,8957421602,1994-04-28,7021.52,NORDESTE,2025-03-28 18:36:55
140,Sr. Levi Novaes,9351286703,1949-09-06,11579.22,NORDESTE,2025-03-28 18:36:55
141,Isabella Silveira,72946318591,1956-12-01,18670.32,NORDESTE,2025-03-28 18:36:55
142,Augusto Campos,95326104806,1997-06-27,12685.14,NORDESTE,2025-03-28 18:36:55
143,Hadassa Gonçalves,49536801205,1982-06-12,5829.11,NORDESTE,2025-03-28 18:36:55
144,Liam Vieira,59368140251,1979-04-01,17670.09,NORTE,2025-03-28 18:36:55
145,Sr. Anthony Gabriel Oliveira,23794518691,1963-08-21,17124.73,NORTE,2025-03-28 18:36:55
146,Gael Porto,27058619395,2006-09-18,14347.2,SUL,2025-03-28 18:36:55
147,Nathan Cassiano,92685174001,1987-02-12,6633.69,NORDESTE,2025-03-28 18:36:55
148,Ana Vitória Jesus,48630752947,1973-07-27,16392.15,NORTE,2025-03-28 18:36:55
149,Renan Albuquerque,75608493184,1964-06-07,12618.76,SUDESTE,2025-03-28 18:36:55
150,Maria Luiza Silva,91576803457,1958-12-06,10715.51,NORTE,2025-03-28 18:36:55
151,Sofia Alves,26317845964,1946-08-02,12929.99,SUDESTE,2025-03-28 18:36:55
152,Sra. Gabrielly Mendonça,13582976491,1968-02-17,13349.31,SUDESTE,2025-03-28 18:36:55
153,Sr. Benjamim Novaes,54107683966,1992-06-02,17845.73,SUDESTE,2025-03-28 18:36:55
154,Vinicius Novais,67380241508,1968-01-10,11998.43,CENTRO-OESTE,2025-03-28 18:36:55
155,Stella Peixoto,43591720879,1981-08-12,9846.36,SUL,2025-03-28 18:36:55
156,Bianca Machado,47269308500,1950-01-03,16939.74,NORDESTE,2025-03-28 18:36:55
157,Pedro Henrique Montenegro,50864312717,1991-03-02,1579.5,SUDESTE,2025-03-28 18:36:55
158,Lucca Porto,6579432152,1992-11-28,1737.86,CENTRO-OESTE,2025-03-28 18:36:55
159,Maria Lopes,7243681913,1954-12-17,3414.15,NORTE,2025-03-28 18:36:55
160,Francisco Da Costa,65042871390,1964-08-15,16729.51,SUDESTE,2025-03-28 18:36:55
161,Anthony Borges,10569874300,1989-02-28,5100.6,SUL,2025-03-28 18:36:55
162,Sra. Nicole Duarte,67513249873,1993-08-13,9688.04,SUL,2025-03-28 18:36:55
163,Clara Da Cunha,21590386442,2002-04-22,4693.22,CENTRO-OESTE,2025-03-28 18:36:55
164,Gael Câmara,28754390141,1986-03-13,13111.17,SUDESTE,2025-03-28 18:36:55
165,Sr. Ravy Leão,63420718535,1945-06-30,3522.16,NORDESTE,2025-03-28 18:36:55
166,Vinicius Vieira,15304962761,1978-11-22,10809.71,CENTRO-OESTE,2025-03-28 18:36:55
167,João Gabriel Azevedo,59803476238,1984-10-02,16108.54,CENTRO-OESTE,2025-03-28 18:36:55
168,Heloísa Albuquerque,27095163499,2006-05-02,9340.46,NORDESTE,2025-03-28 18:36:55
169,Luiza Azevedo,43708652126,1985-04-09,1481.66,SUL,2025-03-28 18:36:55
170,Srta. Evelyn Da Luz,84139502797,1986-06-30,2536.59,NORTE,2025-03-28 18:36:55
171,Bento Alves,16758320480,1970-08-29,14081.5,NORTE,2025-03-28 18:36:55
172,Matheus Brito,14295673099,1971-07-26,4292.59,NORTE,2025-03-28 18:36:55
173,Benjamim Andrade,91574862391,1963-07-26,9404.69,NORTE,2025-03-28 18:36:55
174,Bianca Melo,90457136243,1972-10-03,13543.75,SUL,2025-03-28 18:36:55
175,Davi Lucas Cunha,64095283700,1969-05-01,13127.14,SUL,2025-03-28 18:36:55
176,Gustavo Henrique Da Mota,18047623931,1995-09-15,15020.04,SUL,2025-03-28 18:36:55
177,Sra. Sabrina Mendes,15904263716,2005-09-13,12622.69,CENTRO-OESTE,2025-03-28 18:36:55
178,Maria Helena Fernandes,35429681709,1998-12-03,5706.89,CENTRO-OESTE,2025-03-28 18:36:55
179,Davi Miguel Albuquerque,68792503438,1999-11-05,15399.08,NORTE,2025-03-28 18:36:55
180,Luna Jesus,4582731635,1964-03-01,7495.71,SUDESTE,2025-03-28 18:36:55
181,Dr. Lucas Gabriel Fernandes,74802691378,2005-10-08,1874.05,NORTE,2025-03-28 18:36:55
182,Dra. Isis Moura,18594236042,1979-01-13,6916.85,SUDESTE,2025-03-28 18:36:55
183,Dr. José Miguel Gonçalves,42103976525,1991-02-22,4331.28,NORDESTE,2025-03-28 18:36:55
184,Ana Júlia Rodrigues,85719203460,1986-12-23,15503.92,SUL,2025-03-28 18:36:55
185,Cecilia Machado,34917056810,1990-08-27,9995.96,NORTE,2025-03-28 18:36:55
186,João Vitor Teixeira,96513480205,1994-11-13,9828.8,SUL,2025-03-28 18:36:55
187,Stephany Machado,35067291443,1986-01-29,8571.59,NORDESTE,2025-03-28 18:36:55
188,Sra. Mirella Vargas,39841276500,1990-01-01,19033.77,SUDESTE,2025-03-28 18:36:55
189,Mirella Carvalho,94280735123,1981-03-24,1860.78,NORDESTE,2025-03-28 18:36:55
190,Benício Macedo,95163247891,1999-08-20,12891.34,NORDESTE,2025-03-28 18:36:55
191,Ana Luiza Nascimento,58679230456,1949-08-04,10519.76,SUL,2025-03-28 18:36:55
192,Luna Peixoto,82364591791,1985-03-01,13995.31,NORDESTE,2025-03-28 18:36:55
193,Allana Lima,72391805659,1985-12-04,1503.71,CENTRO-OESTE,2025-03-28 18:36:55
194,Sophie Da Cunha,81406375217,1988-01-02,16218.04,SUDESTE,2025-03-28 18:36:55
195,Dr. Felipe Caldeira,79286153040,1945-08-01,8375.23,SUDESTE,2025-03-28 18:36:55
196,Luna Da Rosa,95461378048,1986-08-11,3441.51,SUL,2025-03-28 18:36:55
197,Dante Andrade,81694320570,1986-04-22,11366.72,SUL,2025-03-28 18:36:55
198,Dr. Rhavi Moraes,75820439600,1948-03-06,12892.85,NORTE,2025-03-28 18:36:55
199,Brayan Fernandes,12906437506,1952-07-25,19262.62,NORDESTE,2025-03-28 18:36:55
200,Mariane Nogueira,71893064557,1978-11-17,4927.0,SUL,2025-03-28 18:36:55
201,Dr. Matheus Campos,57041628949,1951-07-29,2317.86,NORDESTE,2025-03-28 18:36:55
202,Maysa Cassiano,27413806517,1999-10-05,1740.3,NORDESTE,2025-03-28 18:36:55
203,Ana Sophia Rodrigues,54123706916,1967-11-03,13977.13,NORTE,2025-03-28 18:36:55
204,Rael Porto,50893241741,2004-02-12,13458.73,SUL,2025-03-28 18:36:55
205,João Gabriel Marques,74165209830,1974-07-18,17052.63,NORDESTE,2025-03-28 18:36:55
206,Arthur Dias,81076495320,1996-06-01,7471.87,CENTRO-OESTE,2025-03-28 18:36:55
207,Dr. Ravi Lucca Porto,61739524837,1956-03-03,6355.24,SUDESTE,2025-03-28 18:36:55
208,Luan Peixoto,85643210762,1983-06-30,14164.92,NORDESTE,2025-03-28 18:36:55
209,Lavínia Oliveira,73419082541,1962-08-13,12949.91,SUL,2025-03-28 18:36:55
210,Lucca Guerra,7438251950,1977-11-26,1744.54,NORTE,2025-03-28 18:36:55
211,Davi Lucca Barbosa,74352698083,2004-03-17,16266.14,NORTE,2025-03-28 18:36:55
212,Miguel Castro,72986130496,1963-08-10,11411.47,SUL,2025-03-28 18:36:55
213,Fernando Lopes,25084163989,1967-12-18,15261.68,CENTRO-OESTE,2025-03-28 18:36:55
214,Pietra Azevedo,5247936892,1989-06-30,19819.6,SUDESTE,2025-03-28 18:36:55
215,Ana Clara Pereira,64071892501,1986-05-06,8068.34,SUL,2025-03-28 18:36:55
216,Pedro Lucas Novaes,18362479582,1981-07-12,5533.34,SUL,2025-03-28 18:36:55
217,Dra. Lorena Camargo,83964507148,1990-09-06,15058.27,CENTRO-OESTE,2025-03-28 18:36:55
218,Elisa Souza,35187926012,1997-01-08,2959.35,NORTE,2025-03-28 18:36:55
219,Augusto Cunha,14037289687,1953-09-22,11152.22,SUDESTE,2025-03-28 18:36:55
220,Melina Sá,39812560777,1949-06-15,16702.69,SUL,2025-03-28 18:36:55
221,Sra. Hadassa Alves,52086743947,1983-02-24,18014.94,NORTE,2025-03-28 18:36:55
222,Joana Teixeira,43587961255,1998-11-15,2016.22,SUL,2025-03-28 18:36:55
223,Catarina Abreu,83412607517,1977-04-03,18202.26,SUDESTE,2025-03-28 18:36:55
224,Dra. Evelyn Da Cruz,40162573952,1946-10-04,7743.2,SUDESTE,2025-03-28 18:36:55
225,Aurora Alves,54206178380,1980-05-13,19051.18,SUDESTE,2025-03-28 18:36:55
226,Sabrina Costela,5126984306,1971-01-04,11895.32,SUL,2025-03-28 18:36:55
227,Luan Sales,82157093460,1992-10-01,2742.38,SUDESTE,2025-03-28 18:36:55
228,Ana Luiza Da Rocha,69587234146,1956-09-25,7244.63,CENTRO-OESTE,2025-03-28 18:36:55
229,Luiz Felipe Alves,34289567029,1964-07-22,5041.83,SUL,2025-03-28 18:36:55
230,Ravy Sampaio,87695230456,1991-03-19,16040.0,NORTE,2025-03-28 18:36:55
231,Caroline Rios,68742519020,1981-11-09,3155.83,SUL,2025-03-28 18:36:55
232,Dr. Liam Ramos,27653980112,2005-11-02,10393.99,NORDESTE,2025-03-28 18:36:55
233,Sra. Emanuelly Novaes,45961203743,2006-07-04,9389.08,SUL,2025-03-28 18:36:55
234,Marcos Vinicius Leão,96514032842,1958-03-18,7667.39,NORDESTE,2025-03-28 18:36:55
235,Allana Albuquerque,7129364599,1999-08-14,19404.39,NORTE,2025-03-28 18:36:55
236,Yan Da Rocha,40193825732,1995-01-14,15468.7,SUDESTE,2025-03-28 18:36:55
237,Maria Helena Castro,80932154760,1989-10-20,17470.51,SUL,2025-03-28 18:36:55
238,Miguel Carvalho,86492305710,1983-10-06,5228.95,NORTE,2025-03-28 18:36:55
239,Mathias Moura,76310584235,1966-11-01,16615.34,NORDESTE,2025-03-28 18:36:55
240,Caleb Da Costa,10932754643,1994-06-16,3785.49,SUL,2025-03-28 18:36:55
241,Dr. Thiago Da Paz,86512407911,2002-05-25,2611.92,CENTRO-OESTE,2025-03-28 18:36:55
242,Pedro Correia,95074216885,1983-02-24,12044.8,SUL,2025-03-28 18:36:55
243,Olívia Vargas,60513879439,1977-06-01,8042.2,SUDESTE,2025-03-28 18:36:55
244,Larissa Fonseca,53198420741,1977-12-19,5497.02,NORTE,2025-03-28 18:36:55
245,Sra. Evelyn Caldeira,47196280369,1992-04-02,12245.89,SUDESTE,2025-03-28 18:36:55
246,Fernanda Cassiano,57083912602,2000-11-19,8148.93,CENTRO-OESTE,2025-03-28 18:36:55
247,Isabella Da Cunha,16807932502,1991-07-27,15765.79,CENTRO-OESTE,2025-03-28 18:36:55
248,Ana Sophia Ribeiro,24179680530,1973-02-26,5725.76,CENTRO-OESTE,2025-03-28 18:36:55
249,Enrico Da Cunha,7235691859,1993-09-25,3112.75,CENTRO-OESTE,2025-03-28 18:36:55
250,Vinicius Guerra,75416903848,1995-02-02,5819.96,NORDESTE,2025-03-28 18:36:55
251,Matheus Ramos,41539827097,1978-03-25,9904.55,NORDESTE,2025-03-28 18:36:55
252,José Rezende,37956802121,1989-11-21,15078.5,SUL,2025-03-28 18:36:55
253,Mateus Da Conceição,70326981403,1963-10-30,16633.02,NORTE,2025-03-28 18:36:55
254,Emanuelly Caldeira,85169320795,1981-08-09,13939.75,SUDESTE,2025-03-28 18:36:55
255,Cauê Sampaio,41397520680,1967-10-19,19281.28,SUDESTE,2025-03-28 18:36:55
256,Sophie Cavalcanti,52648017976,1999-08-21,6428.53,NORTE,2025-03-28 18:36:55
257,Rael Fernandes,30459681206,1959-11-28,5248.32,NORDESTE,2025-03-28 18:36:55
258,Davi Machado,2154986315,1997-03-18,1230.94,SUL,2025-03-28 18:36:55
259,Dante Sá,50613724844,1990-03-26,1820.04,SUL,2025-03-28 18:36:55
260,Rael Ferreira,63498720104,1971-07-02,1824.61,SUL,2025-03-28 18:36:55
261,Lara Da Luz,12367054916,1985-11-29,19866.33,SUL,2025-03-28 18:36:55
262,Thomas Silveira,21465730907,1986-06-22,5806.81,CENTRO-OESTE,2025-03-28 18:36:55
263,Sr. Danilo Almeida,28364509756,1970-07-31,19416.75,NORDESTE,2025-03-28 18:36:55
264,Kevin Fonseca,52431906752,1988-05-01,4158.09,NORTE,2025-03-28 18:36:55
265,Ana Lívia Sales,8965142342,1995-01-13,14219.23,NORTE,2025-03-28 18:36:55
266,Maria Helena Novaes,54238601998,1964-05-02,12923.6,CENTRO-OESTE,2025-03-28 18:36:55
267,Isabella Garcia,81273654080,1984-12-28,18122.0,NORTE,2025-03-28 18:36:55
268,Alice Abreu,70618325921,2002-01-11,18389.83,NORDESTE,2025-03-28 18:36:55
269,Ravi Lucca Campos,31850469270,1950-03-21,19057.82,SUDESTE,2025-03-28 18:36:55
270,Joaquim Moreira,5637281408,1992-09-23,3028.37,SUL,2025-03-28 18:36:55
271,Lívia Sousa,15463072906,1981-07-06,6270.24,SUDESTE,2025-03-28 18:36:55
272,Dante Da Cruz,90856732168,1970-03-09,13290.12,NORDESTE,2025-03-28 18:36:55
273,Hadassa Da Cunha,90426315707,1980-04-27,5358.5,SUDESTE,2025-03-28 18:36:55
274,Ester Azevedo,50761283986,1959-09-30,2476.96,NORTE,2025-03-28 18:36:55
275,Samuel Sales,50619874201,1996-10-01,5939.05,CENTRO-OESTE,2025-03-28 18:36:55
276,Kaique Da Mata,30486159701,1997-08-05,14265.07,NORTE,2025-03-28 18:36:55
277,Kaique Moreira,79230168440,2006-10-07,6315.51,SUL,2025-03-28 18:36:55
278,João Vitor Machado,18506397448,1983-05-08,16462.11,SUDESTE,2025-03-28 18:36:55
279,Thomas Alves,69734520199,1981-04-14,6148.2,SUL,2025-03-28 18:36:55
280,Nicole Sá,86593402729,1957-06-11,18307.62,SUL,2025-03-28 18:36:55
281,Calebe Abreu,81492706396,1984-01-23,18870.1,CENTRO-OESTE,2025-03-28 18:36:55
282,Ana Clara Andrade,15096743810,1976-01-08,14788.67,NORTE,2025-03-28 18:36:55
283,Pedro Vasconcelos,78195460267,1976-10-05,8946.62,NORDESTE,2025-03-28 18:36:55
