id_cliente,nome,cpf,data_nascimento,renda_mensal,regiao
53,Sra. Ana Luiza Fogaça,563.407.289-10,1970-12-09,10931.92,Nordeste
54,Maria Fernanda Rios,986.137.045-57,2005-01-02,1482.96,Sul
55,Leonardo Azevedo,380.152.469-89,1996-10-13,4832.66,Norte
56,Valentim da Costa,916.305.472-80,1944-11-03,6972.76,Sudeste
57,Sra. Jade Machado,187.469.320-03,1951-10-12,18243.76,Sul
58,Guilherme Novais,790.561.432-80,1952-12-22,11256.98,Sul
59,Anthony Oliveira,162.590.374-06,1990-07-19,5347.17,Centro-Oeste
60,Camila Pacheco,780.564.219-20,1945-02-05,14200.91,Sudeste
61,Bento Sampaio,094.283.567-00,1974-07-09,18664.26,Sul
62,Sofia Fernandes,893.670.524-56,2002-12-13,6617.04,Sul
63,Maria Alice Sá,569.407.328-29,1972-09-25,17557.75,Sudeste
64,Lavínia Cavalcante,372.146.089-87,1972-12-09,5150.37,Sudeste
65,Ana Laura Silveira,192.765.804-76,1973-12-17,17958.62,Centro-Oeste
66,Lucas Dias,691.327.840-31,2006-06-14,7162.56,Sudeste
67,Samuel Ferreira,516.802.493-98,1949-07-16,7769.66,Norte
68,Maria Helena Pires,573.249.018-32,1987-07-30,6170.51,Centro-Oeste
69,Maysa Farias,489.715.203-88,2001-10-08,9115.05,Sudeste
70,Diego Brito,695.718.430-75,1953-12-18,7698.81,Centro-Oeste
71,Thiago Araújo,534.162.980-98,2005-05-20,1132.09,Centro-Oeste
72,Eduardo Cavalcante,186.302.759-95,1944-09-20,8930.81,Sul
73,Valentina Araújo,809.765.413-00,2005-04-05,14156.28,Nordeste
74,Ana Sophia Carvalho,728.501.649-76,1972-09-25,7414.69,Centro-Oeste
75,Luan Pinto,364.089.271-22,2002-12-14,7140.86,Norte
76,Ana Lívia da Cruz,873.056.912-59,1983-11-26,8672.89,Norte
77,Matheus da Cunha,791.624.380-69,1966-05-31,5824.39,Sudeste
78,Luana Dias,961.038.742-03,2006-12-04,5783.86,Nordeste
79,Oliver Gomes,712.365.940-61,2003-01-30,14533.14,Sul
80,Agatha Pimenta,069.352.471-52,1985-11-05,6411.97,Norte
81,Cecilia da Mata,743.985.261-37,1969-01-01,6068.84,Nordeste
82,Samuel Cavalcanti,125.046.983-05,1966-02-26,10550.9,Sul
83,Kamilly Fonseca,901.427.583-88,1999-12-22,7556.35,Norte
84,Sophia Dias,471.203.586-26,1984-01-10,5551.68,Nordeste
85,Letícia Barbosa,215.894.703-97,2007-01-29,11087.76,Nordeste
86,João Miguel Aparecida,276.390.845-47,1996-10-11,19727.36,Sudeste
87,Sr. Lucca Azevedo,345.780.926-74,1946-11-13,2536.21,Centro-Oeste
88,Sara Almeida,187.263.945-37,1967-12-26,5601.04,Sul
89,Srta. Amanda Silva,189.342.607-69,2006-08-01,13013.81,Centro-Oeste
90,Erick Nogueira,967.053.421-61,1959-08-27,16512.21,Norte
91,Brayan Cavalcante,795.382.014-50,2002-04-11,3863.63,Centro-Oeste
92,Renan Ferreira,927.184.360-69,1990-09-14,4543.85,Sul
93,Srta. Ana Sophia Campos,412.950.763-06,1996-05-28,17308.82,Sudeste
94,João Felipe Costa,057.861.432-44,2001-07-15,13873.72,Centro-Oeste
95,Thiago Montenegro,532.461.780-62,1950-08-07,14511.84,Centro-Oeste
96,Maria Laura da Costa,390.851.726-59,1973-03-01,7624.65,Sudeste
97,Isaque Câmara,760.152.483-35,1975-03-10,18869.94,Nordeste
98,Dr. Noah Andrade,249.086.753-92,1995-01-22,16916.49,Centro-Oeste
99,Josué Mendonça,674.815.309-39,1951-11-02,7480.26,Norte
100,Olívia Cavalcanti,039.861.427-03,1960-01-20,4972.36,Nordeste
101,Théo Moreira,931.726.054-34,1984-08-13,5900.89,Sudeste
102,Maria Júlia da Mata,403.158.627-26,2004-07-22,4324.14,Norte
103,Lucas Farias,893.407.625-92,1994-06-07,10816.08,Norte
104,Olívia Câmara,382.975.146-09,1951-06-29,5595.19,Sudeste
105,Liam Cunha,876.913.520-77,2005-09-02,11607.58,Centro-Oeste
106,Srta. Beatriz Cassiano,328.947.610-31,1993-03-28,4585.44,Norte
107,João Gabriel Machado,695.173.802-59,1944-05-09,7634.98,Centro-Oeste
108,Liz Martins,932.046.178-31,1957-11-23,17270.16,Norte
109,Carlos Eduardo Nogueira,365.412.798-37,1960-07-14,13198.6,Centro-Oeste
110,Yan Mendes,791.042.586-49,1980-02-04,18777.06,Sudeste
111,Lívia Pires,671.932.540-06,1983-05-15,18072.53,Sudeste
112,Sophie Vasconcelos,502.893.176-30,1964-12-31,12033.05,Norte
113,Ian Dias,402.158.679-20,1954-10-18,13606.53,Sul
114,Alana Cavalcante,574.821.396-64,1980-01-27,6394.5,Nordeste
115,Asafe Montenegro,735.012.648-44,1966-03-24,10226.66,Centro-Oeste
116,Paulo Rocha,286.179.403-87,1975-07-28,13387.26,Norte
117,Benicio Nunes,974.081.236-87,1946-01-29,4342.58,Sudeste
118,Melina Correia,314.725.980-32,1982-07-18,5507.73,Sul
119,Luiz Fernando Monteiro,286.379.514-73,1980-01-04,4397.63,Centro-Oeste
120,Sr. Joaquim Viana,537.901.482-88,1946-07-13,13494.64,Norte
121,Heloisa Gomes,684.902.735-29,1985-07-17,11308.26,Centro-Oeste
122,Isis Rios,704.183.956-75,1960-01-31,7986.6,Sul
123,Sara da Rocha,758.630.924-83,1992-06-19,10248.1,Centro-Oeste
124,Gabriel Garcia,089.154.763-01,1993-07-13,9253.49,Sul
125,Sr. Lucca Monteiro,157.029.436-43,1989-09-21,10550.1,Sudeste
126,Marcela Pinto,835.402.791-05,1948-11-20,13709.56,Norte
127,Marcos Vinicius Barros,523.460.981-24,1951-01-28,4709.62,Sul
128,Vitor Vargas,203.769.548-92,1962-10-19,10484.67,Sudeste
129,Lavínia Pereira,819.503.476-48,1985-11-10,1462.0,Norte
130,Ana Beatriz Ribeiro,713.490.856-93,1958-07-26,1828.47,Sudeste
131,Manuella da Costa,945.687.120-76,1956-05-11,18868.71,Sul
132,Dr. Vitor Gabriel Ramos,072.561.348-35,1957-06-02,6311.65,Centro-Oeste
133,Marcos Vinicius Pinto,854.920.763-29,2001-11-29,15206.66,Sul
134,Alícia Almeida,680.519.427-01,1965-12-14,18638.05,Norte
135,Danilo Lopes,324.670.985-83,1950-06-30,11502.53,Centro-Oeste
136,Erick Rezende,051.839.674-66,1988-05-29,19626.3,Sudeste
137,Vitor Gabriel Alves,602.734.195-52,1980-04-21,6594.53,Sul
138,Evelyn Macedo,472.158.309-50,1960-10-27,4627.31,Norte
139,Diogo Duarte,089.574.216-02,1994-04-28,7021.52,Nordeste
140,Sr. Levi Novaes,093.512.867-03,1949-09-06,11579.22,Nordeste
141,Isabella Silveira,729.463.185-91,1956-12-01,18670.32,Nordeste
142,Augusto Campos,953.261.048-06,1997-06-27,12685.14,Nordeste
143,Hadassa Gonçalves,495.368.012-05,1982-06-12,5829.11,Nordeste
144,Liam Vieira,593.681.402-51,1979-04-01,17670.09,Norte
145,Sr. Anthony Gabriel Oliveira,237.945.186-91,1963-08-21,17124.73,Norte
146,Gael Porto,270.586.193-95,2006-09-18,14347.2,Sul
147,Nathan Cassiano,926.851.740-01,1987-02-12,6633.69,Nordeste
148,Ana Vitória Jesus,486.307.529-47,1973-07-27,16392.15,Norte
149,Renan Albuquerque,756.084.931-84,1964-06-07,12618.76,Sudeste
150,Maria Luiza Silva,915.768.034-57,1958-12-06,10715.51,Norte
151,Sofia Alves,263.178.459-64,1946-08-02,12929.99,Sudeste
152,Sra. Gabrielly Mendonça,135.829.764-91,1968-02-17,13349.31,Sudeste
153,Sr. Benjamim Novaes,541.076.839-66,1992-06-02,17845.73,Sudeste
154,Vinicius Novais,673.802.415-08,1968-01-10,11998.43,Centro-Oeste
155,Stella Peixoto,435.917.208-79,1981-08-12,9846.36,Sul
156,Bianca Machado,472.693.085-00,1950-01-03,16939.74,Nordeste
157,Pedro Henrique Montenegro,508.643.127-17,1991-03-02,1579.5,Sudeste
158,Lucca Porto,065.794.321-52,1992-11-28,1737.86,Centro-Oeste
159,Maria Lopes,072.436.819-13,1954-12-17,3414.15,Norte
160,Francisco da Costa,650.428.713-90,1964-08-15,16729.51,Sudeste
161,Anthony Borges,105.698.743-00,1989-02-28,5100.6,Sul
162,Sra. Nicole Duarte,675.132.498-73,1993-08-13,9688.04,Sul
163,Clara da Cunha,215.903.864-42,2002-04-22,4693.22,Centro-Oeste
164,Gael Câmara,287.543.901-41,1986-03-13,13111.17,Sudeste
165,Sr. Ravy Leão,634.207.185-35,1945-06-30,3522.16,Nordeste
166,Vinicius Vieira,153.049.627-61,1978-11-22,10809.71,Centro-Oeste
167,João Gabriel Azevedo,598.034.762-38,1984-10-02,16108.54,Centro-Oeste
168,Heloísa Albuquerque,270.951.634-99,2006-05-02,9340.46,Nordeste
169,Luiza Azevedo,437.086.521-26,1985-04-09,1481.66,Sul
170,Srta. Evelyn da Luz,841.395.027-97,1986-06-30,2536.59,Norte
171,Bento Alves,167.583.204-80,1970-08-29,14081.5,Norte
172,Matheus Brito,142.956.730-99,1971-07-26,4292.59,Norte
173,Benjamim Andrade,915.748.623-91,1963-07-26,9404.69,Norte
174,Bianca Melo,904.571.362-43,1972-10-03,13543.75,Sul
175,Davi Lucas Cunha,640.952.837-00,1969-05-01,13127.14,Sul
176,Gustavo Henrique da Mota,180.476.239-31,1995-09-15,15020.04,Sul
177,Sra. Sabrina Mendes,159.042.637-16,2005-09-13,12622.69,Centro-Oeste
178,Maria Helena Fernandes,354.296.817-09,1998-12-03,5706.89,Centro-Oeste
179,Davi Miguel Albuquerque,687.925.034-38,1999-11-05,15399.08,Norte
180,Luna Jesus,045.827.316-35,1964-03-01,7495.71,Sudeste
181,Dr. Lucas Gabriel Fernandes,748.026.913-78,2005-10-08,1874.05,Norte
182,Dra. Isis Moura,185.942.360-42,1979-01-13,6916.85,Sudeste
183,Dr. José Miguel Gonçalves,421.039.765-25,1991-02-22,4331.28,Nordeste
184,Ana Júlia Rodrigues,857.192.034-60,1986-12-23,15503.92,Sul
185,Cecilia Machado,349.170.568-10,1990-08-27,9995.96,Norte
186,João Vitor Teixeira,965.134.802-05,1994-11-13,9828.8,Sul
187,Stephany Machado,350.672.914-43,1986-01-29,8571.59,Nordeste
188,Sra. Mirella Vargas,398.412.765-00,1990-01-01,19033.77,Sudeste
189,Mirella Carvalho,942.807.351-23,1981-03-24,1860.78,Nordeste
190,Benício Macedo,951.632.478-91,1999-08-20,12891.34,Nordeste
191,Ana Luiza Nascimento,586.792.304-56,1949-08-04,10519.76,Sul
192,Luna Peixoto,823.645.917-91,1985-03-01,13995.31,Nordeste
193,Allana Lima,723.918.056-59,1985-12-04,1503.71,Centro-Oeste
194,Sophie da Cunha,814.063.752-17,1988-01-02,16218.04,Sudeste
195,Dr. Felipe Caldeira,792.861.530-40,1945-08-01,8375.23,Sudeste
196,Luna da Rosa,954.613.780-48,1986-08-11,3441.51,Sul
197,Dante Andrade,816.943.205-70,1986-04-22,11366.72,Sul
198,Dr. Rhavi Moraes,758.204.396-00,1948-03-06,12892.85,Norte
199,Brayan Fernandes,129.064.375-06,1952-07-25,19262.62,Nordeste
200,Mariane Nogueira,718.930.645-57,1978-11-17,4927.0,Sul
201,Dr. Matheus Campos,570.416.289-49,1951-07-29,2317.86,Nordeste
202,Maysa Cassiano,274.138.065-17,1999-10-05,1740.3,Nordeste
203,Ana Sophia Rodrigues,541.237.069-16,1967-11-03,13977.13,Norte
204,Rael Porto,508.932.417-41,2004-02-12,13458.73,Sul
205,João Gabriel Marques,741.652.098-30,1974-07-18,17052.63,Nordeste
206,Arthur Dias,810.764.953-20,1996-06-01,7471.87,Centro-Oeste
207,Dr. Ravi Lucca Porto,617.395.248-37,1956-03-03,6355.24,Sudeste
208,Luan Peixoto,856.432.107-62,1983-06-30,14164.92,Nordeste
209,Lavínia Oliveira,734.190.825-41,1962-08-13,12949.91,Sul
210,Lucca Guerra,074.382.519-50,1977-11-26,1744.54,Norte
211,Davi Lucca Barbosa,743.526.980-83,2004-03-17,16266.14,Norte
212,Miguel Castro,729.861.304-96,1963-08-10,11411.47,Sul
213,Fernando Lopes,250.841.639-89,1967-12-18,15261.68,Centro-Oeste
214,Pietra Azevedo,052.479.368-92,1989-06-30,19819.6,Sudeste
215,Ana Clara Pereira,640.718.925-01,1986-05-06,8068.34,Sul
216,Pedro Lucas Novaes,183.624.795-82,1981-07-12,5533.34,Sul
217,Dra. Lorena Camargo,839.645.071-48,1990-09-06,15058.27,Centro-Oeste
218,Elisa Souza,351.879.260-12,1997-01-08,2959.35,Norte
219,Augusto Cunha,140.372.896-87,1953-09-22,11152.22,Sudeste
220,Melina Sá,398.125.607-77,1949-06-15,16702.69,Sul
221,Sra. Hadassa Alves,520.867.439-47,1983-02-24,18014.94,Norte
222,Joana Teixeira,435.879.612-55,1998-11-15,2016.22,Sul
223,Catarina Abreu,834.126.075-17,1977-04-03,18202.26,Sudeste
224,Dra. Evelyn da Cruz,401.625.739-52,1946-10-04,7743.2,Sudeste
225,Aurora Alves,542.061.783-80,1980-05-13,19051.18,Sudeste
226,Sabrina Costela,051.269.843-06,1971-01-04,11895.32,Sul
227,Luan Sales,821.570.934-60,1992-10-01,2742.38,Sudeste
228,Ana Luiza da Rocha,695.872.341-46,1956-09-25,7244.63,Centro-Oeste
229,Luiz Felipe Alves,342.895.670-29,1964-07-22,5041.83,Sul
230,Ravy Sampaio,876.952.304-56,1991-03-19,16040.0,Norte
231,Caroline Rios,687.425.190-20,1981-11-09,3155.83,Sul
232,Dr. Liam Ramos,276.539.801-12,2005-11-02,10393.99,Nordeste
233,Sra. Emanuelly Novaes,459.612.037-43,2006-07-04,9389.08,Sul
234,Marcos Vinicius Leão,965.140.328-42,1958-03-18,7667.39,Nordeste
235,Allana Albuquerque,071.293.645-99,1999-08-14,19404.39,Norte
236,Yan da Rocha,401.938.257-32,1995-01-14,15468.7,Sudeste
237,Maria Helena Castro,809.321.547-60,1989-10-20,17470.51,Sul
238,Miguel Carvalho,864.923.057-10,1983-10-06,5228.95,Norte
239,Mathias Moura,763.105.842-35,1966-11-01,16615.34,Nordeste
240,Caleb da Costa,109.327.546-43,1994-06-16,3785.49,Sul
241,Dr. Thiago da Paz,865.124.079-11,2002-05-25,2611.92,Centro-Oeste
242,Pedro Correia,950.742.168-85,1983-02-24,12044.8,Sul
243,Olívia Vargas,605.138.794-39,1977-06-01,8042.2,Sudeste
244,Larissa Fonseca,531.984.207-41,1977-12-19,5497.02,Norte
245,Sra. Evelyn Caldeira,471.962.803-69,1992-04-02,12245.89,Sudeste
246,Fernanda Cassiano,570.839.126-02,2000-11-19,8148.93,Centro-Oeste
247,Isabella da Cunha,168.079.325-02,1991-07-27,15765.79,Centro-Oeste
248,Ana Sophia Ribeiro,241.796.805-30,1973-02-26,5725.76,Centro-Oeste
249,Enrico da Cunha,072.356.918-59,1993-09-25,3112.75,Centro-Oeste
250,Vinicius Guerra,754.169.038-48,1995-02-02,5819.96,Nordeste
251,Matheus Ramos,415.398.270-97,1978-03-25,9904.55,Nordeste
252,José Rezende,379.568.021-21,1989-11-21,15078.5,Sul
253,Mateus da Conceição,703.269.814-03,1963-10-30,16633.02,Norte
254,Emanuelly Caldeira,851.693.207-95,1981-08-09,13939.75,Sudeste
255,Cauê Sampaio,413.975.206-80,1967-10-19,19281.28,Sudeste
256,Sophie Cavalcanti,526.480.179-76,1999-08-21,6428.53,Norte
257,Rael Fernandes,304.596.812-06,1959-11-28,5248.32,Nordeste
258,Davi Machado,021.549.863-15,1997-03-18,1230.94,Sul
259,Dante Sá,506.137.248-44,1990-03-26,1820.04,Sul
260,Rael Ferreira,634.987.201-04,1971-07-02,1824.61,Sul
261,Lara da Luz,123.670.549-16,1985-11-29,19866.33,Sul
262,Thomas Silveira,214.657.309-07,1986-06-22,5806.81,Centro-Oeste
263,Sr. Danilo Almeida,283.645.097-56,1970-07-31,19416.75,Nordeste
264,Kevin Fonseca,524.319.067-52,1988-05-01,4158.09,Norte
265,Ana Lívia Sales,089.651.423-42,1995-01-13,14219.23,Norte
266,Maria Helena Novaes,542.386.019-98,1964-05-02,12923.6,Centro-Oeste
267,Isabella Garcia,812.736.540-80,1984-12-28,18122.0,Norte
268,Alice Abreu,706.183.259-21,2002-01-11,18389.83,Nordeste
269,Ravi Lucca Campos,318.504.692-70,1950-03-21,19057.82,Sudeste
270,Joaquim Moreira,056.372.814-08,1992-09-23,3028.37,Sul
271,Lívia Sousa,154.630.729-06,1981-07-06,6270.24,Sudeste
272,Dante da Cruz,908.567.321-68,1970-03-09,13290.12,Nordeste
273,Hadassa da Cunha,904.263.157-07,1980-04-27,5358.5,Sudeste
274,Ester Azevedo,507.612.839-86,1959-09-30,2476.96,Norte
275,Samuel Sales,506.198.742-01,1996-10-01,5939.05,Centro-Oeste
276,Kaique da Mata,304.861.597-01,1997-08-05,14265.07,Norte
277,Kaique Moreira,792.301.684-40,2006-10-07,6315.51,Sul
278,João Vitor Machado,185.063.974-48,1983-05-08,16462.11,Sudeste
279,Thomas Alves,697.345.201-99,1981-04-14,6148.2,Sul
280,Nicole Sá,865.934.027-29,1957-06-11,18307.62,Sul
281,Calebe Abreu,814.927.063-96,1984-01-23,18870.1,Centro-Oeste
282,Ana Clara Andrade,150.967.438-10,1976-01-08,14788.67,Norte
283,Pedro Vasconcelos,781.954.602-67,1976-10-05,8946.62,Nordeste
284,Isaque Costela,293.081.675-95,1964-12-31,11480.17,Sul
285,Rebeca Fernandes,243.091.678-96,1957-10-16,1500.97,Norte
286,Miguel Araújo,963.108.245-89,1957-05-26,15774.44,Nordeste
287,Augusto Carvalho,401.769.253-25,2004-08-14,19758.25,Norte
288,Diogo Silva,759.632.810-59,2004-07-24,8158.04,Nordeste
289,Maya Aparecida,203.971.468-50,1946-12-14,8236.93,Centro-Oeste
290,Sr. Luan Rodrigues,712.348.560-26,1951-03-27,17000.26,Sul
291,Breno Rezende,254.076.381-26,1993-08-30,2206.72,Norte
292,Nicole Campos,134.069.258-98,1970-10-07,8881.57,Norte
293,Letícia Santos,042.915.367-80,2002-12-30,1259.77,Sudeste
294,Yago Leão,289.304.167-13,1965-05-24,16445.12,Sul
295,Pedro Miguel da Cruz,425.316.980-51,1989-06-05,19936.1,Sul
296,Murilo Andrade,981.670.425-02,1985-04-09,12117.84,Sul
297,Henrique Azevedo,073.562.184-53,1982-02-15,18950.55,Nordeste
298,Mateus Macedo,173.895.042-50,1945-12-03,8179.16,Sul
299,Ana Beatriz Sampaio,690.728.435-92,1968-03-16,9560.34,Norte
300,Ana Cavalcante,249.567.801-76,1977-08-13,19126.97,Sul
301,Lucas Campos,729.510.483-60,1994-08-15,4937.33,Norte
302,Mirella da Luz,175.302.489-79,1962-11-14,13762.31,Nordeste
303,Miguel Campos,760.381.925-30,1981-11-29,7805.09,Nordeste
304,Sophia Albuquerque,342.109.675-99,1971-01-14,10465.14,Centro-Oeste
305,Sofia Campos,794.102.856-58,2004-07-31,10883.11,Sudeste
306,Maria Liz Souza,841.295.063-15,1975-01-24,16511.33,Sudeste
307,Pietro Andrade,738.142.065-17,1980-04-12,11657.82,Centro-Oeste
308,Josué Montenegro,039.816.275-12,1968-05-01,8666.17,Sul
309,Dra. Cecília Pires,403.651.729-52,1975-06-07,12785.88,Nordeste
310,Mariana da Luz,946.073.815-00,1971-09-26,16295.85,Sudeste
311,Theodoro Andrade,283.750.641-90,1974-04-19,19628.79,Nordeste
312,Gael Henrique da Paz,142.573.809-50,1951-01-31,12208.44,Centro-Oeste
313,Maria Eduarda Aparecida,136.847.025-44,1991-10-12,2729.04,Nordeste
314,Clarice Macedo,084.235.961-33,1996-04-16,7616.85,Norte
315,Luiz Miguel Viana,075.869.321-40,1999-09-30,15889.41,Sudeste
316,Ana Lívia da Rocha,618.354.927-46,1974-02-01,6661.23,Nordeste
317,Dra. Maria Luiza Vasconcelos,034.629.187-96,1999-05-15,17384.91,Sul
318,Ágatha Moura,073.584.196-93,1949-03-13,16132.96,Nordeste
319,Enzo Moraes,615.329.480-42,2006-09-26,18605.16,Nordeste
320,Dra. Isabella Peixoto,875.631.920-77,1963-03-11,15609.44,Sudeste
321,Luiz Miguel da Costa,508.196.472-76,1949-11-01,9723.58,Nordeste
322,Mariana Souza,438.659.210-51,2001-04-15,12795.31,Nordeste
323,Nathan Pastor,843.912.750-23,1989-10-03,7246.28,Centro-Oeste
324,Raul Pimenta,467.215.903-52,1993-11-04,12013.35,Centro-Oeste
325,Bruna Siqueira,315.027.964-06,1960-06-28,2441.4,Norte
326,Vinicius Aragão,765.942.831-46,1944-04-21,9742.26,Centro-Oeste
327,Arthur Gabriel Costa,532.071.896-95,1947-12-10,3637.72,Sudeste
328,Enzo da Luz,620.817.549-67,1978-08-24,4455.72,Norte
329,Caroline Macedo,563.149.720-43,1950-06-23,18038.98,Centro-Oeste
330,André Monteiro,592.840.716-58,1980-02-03,10789.49,Nordeste
331,Marcos Vinicius Ferreira,728.163.459-55,1980-11-05,12436.77,Centro-Oeste
332,Arthur Gabriel da Rocha,805.346.217-08,1950-08-26,1776.5,Sul
333,Asafe Moura,538.947.261-64,1953-08-04,7556.57,Nordeste
334,Ravi Lucca Fogaça,491.872.650-01,1981-12-22,4363.2,Sul
335,Anthony Gabriel Ribeiro,786.143.205-07,1972-04-11,11425.59,Sul
336,Dra. Natália Garcia,203.647.819-04,1976-08-01,9754.8,Nordeste
337,Emilly Duarte,413.920.875-97,1950-04-17,17990.13,Norte
338,Benicio Duarte,187.649.523-55,1960-02-25,10564.93,Sul
339,Oliver da Cruz,617.305.942-80,2005-06-14,7110.07,Nordeste
340,Ísis da Luz,364.509.712-07,2003-04-19,16188.8,Norte
341,Isabelly Leão,082.637.519-77,1996-05-26,14067.91,Centro-Oeste
342,Dra. Amanda Jesus,679.832.154-28,2001-04-13,18496.58,Sul
343,Emanuelly Pastor,670.419.328-69,2002-10-20,1049.31,Sudeste
344,Matteo Silveira,957.016.348-84,1977-11-19,16317.82,Norte
345,Luna Costa,246.091.583-70,1956-01-21,12348.28,Sudeste
346,Pedro Henrique Nogueira,372.610.498-40,1956-02-13,4977.64,Nordeste
347,Gael Henrique Vargas,903.152.847-14,1965-04-16,15439.15,Nordeste
348,Srta. Emanuella Siqueira,937.628.514-09,1970-07-21,15201.95,Centro-Oeste
349,Bruno Pimenta,036.941.278-87,2002-05-01,5796.3,Centro-Oeste
350,Clarice Sousa,143.826.907-22,1959-08-03,18008.93,Centro-Oeste
351,João Guilherme Mendonça,714.936.258-37,1980-03-11,11110.16,Sul
352,Srta. Maya Costa,327.401.695-07,1984-05-04,17477.08,Centro-Oeste
353,Kevin Lima,209.685.741-49,1959-02-23,8546.11,Norte
354,Caroline Vargas,105.968.324-51,1952-07-14,15010.7,Sudeste
355,Isabela Barros,683.094.271-31,1958-10-17,1381.35,Norte
356,Dr. Miguel Farias,413.829.065-60,1979-06-29,16973.49,Nordeste
357,Liz Ferreira,589.421.073-97,1986-05-30,11171.38,Norte
358,Camila da Rosa,418.930.526-05,1980-03-14,17920.02,Sudeste
359,Luan Cirino,634.189.750-20,1949-02-10,10005.43,Nordeste
360,Sra. Ana Lívia da Luz,879.536.102-21,1999-08-04,15994.25,Sul
361,Alícia Cunha,380.216.754-62,1955-03-08,10112.06,Sudeste
362,Stella Pinto,059.482.317-04,1972-02-07,11205.02,Nordeste
363,Dra. Isadora Ribeiro,971.085.264-76,2005-05-19,11597.1,Norte
364,Maria Helena Ramos,760.325.481-71,1967-03-12,11724.71,Nordeste
365,Aurora Sá,832.651.490-05,1979-02-06,6391.74,Sudeste
